result_id,phase,dataset,metric_name,value,ci_lo,ci_hi,ci_method,p_value,n_seeds,n_providers,n_boot,n_evaluations,source_file,w_issues_resolved,run_id,locked,note
R11,Phase4,BETTER-BP,DR_value_uplift_targeting,0.89186,,,none,,5.0,2.0,2000.0,,processed/better_bp/results_phase4/policy_values.csv,W04A,phase4,True,Budget B=0.6667
R12,Phase4,BETTER-BP,Delta_V_uplift_vs_random,0.03156,-0.01126,0.07773,bootstrap_n2000_seeds5_folds5,,5.0,2.0,2000.0,,processed/better_bp/results_phase4/policy_contrasts.csv,W04A,phase4,True,CI crosses zero; ci_includes_zero=1
R13,Phase6B,eICU,AUROC_clean_FedAvg,0.89037,0.8892,0.89132,bootstrap_n2000,,5.0,8.0,2000.0,5.0,processed/phase6/phase6b_adversarial.csv,,original,True,Clean FedAvg baseline; eICU K=8
R14,Phase6B,eICU,Delta_AUROC_label_flip_f3_fedavg,-0.1195,-0.1776,-0.06141,paired_ttest_df4,0.0046,5.0,8.0,,5.0,processed/phase6/phase6b_adversarial.csv,,original,True,Matched-seed join on 5 pairs. Cross-checked against stat_tests.csv A2.
R15,Phase6B,eICU,Delta_AUROC_coord_median_vs_FedAvg_label_flip,0.11143,0.05777,0.1651,paired_ttest_df4,0.0045,5.0,8.0,,5.0,processed/phase6/phase6b_adversarial.csv,,original,True,Defense recovery: coord_median vs FedAvg under label_flip f=3
R16,Phase6B,eICU,Delta_AUROC_sign_flip_f3_fedavg,-0.05934,-0.10316,-0.01552,paired_ttest_df4,0.0198,5.0,8.0,,5.0,processed/phase6/phase6b_adversarial.csv,,original,True,Matched-seed join on 5 pairs. 
R17,Phase6B,eICU,Delta_AUROC_alie_f3_fedavg,-0.00417,-0.01261,0.00426,paired_ttest_df4,0.2416,5.0,8.0,,5.0,processed/phase6/phase6b_adversarial.csv,,original,True,Matched-seed join on 5 pairs. Not significant.
R18,Phase6B,eICU,Delta_AUROC_random_gauss_f3_FedAvg,-0.11153,-0.19663,-0.02644,paired_ttest_df4,0.022,5.0,8.0,,5.0,processed/phase6/phase6b_adversarial_w09.csv,W09a,w09,True,W09a seeded RNG; paired against original clean baseline (5 seeds)
R19,Phase6B,eICU,BSR_backdoor_f3_FedAvg,0.92024,0.91905,0.92143,bootstrap_n2000,,5.0,8.0,2000.0,5.0,processed/phase6/phase6b_adversarial_w09.csv,"W09c,W10a",w09,True,Triggered target-class rate (W10a rename); reported descriptively
R20,Phase6C,eICU,Recon_cos_batch1_alpha0.0,1.0,1.0,1.0,bootstrap_n2000,,25.0,,2000.0,25.0,processed/phase6/phase6c_reconstruction.csv,W07,original,True,C0-correct MI features; batch=1; 25 evaluations
R21,Phase6C,eICU,Recon_cos_batch1_alpha0.01,0.99545,0.99442,0.99637,bootstrap_n2000,,25.0,,2000.0,25.0,processed/phase6/phase6c_reconstruction.csv,W07,original,True,C0-correct MI features; batch=1; 25 evaluations
R22,Phase6C,eICU,Recon_cos_batch1_alpha0.05,0.87901,0.85134,0.90399,bootstrap_n2000,,25.0,,2000.0,25.0,processed/phase6/phase6c_reconstruction.csv,W07,original,True,C0-correct MI features; batch=1; 25 evaluations
R23,Phase6C,eICU,Recon_cos_batch1_alpha0.1,0.72158,0.68127,0.75731,bootstrap_n2000,,25.0,,2000.0,25.0,processed/phase6/phase6c_reconstruction.csv,W07,original,True,C0-correct MI features; batch=1; 25 evaluations
R24,Phase6C,eICU,Recon_cos_batch1_alpha0.2,0.452,0.39371,0.50547,bootstrap_n2000,,25.0,,2000.0,25.0,processed/phase6/phase6c_reconstruction.csv,W07,original,True,C0-correct MI features; batch=1; 25 evaluations
R25,Phase6C,eicu,MIA_AUROC,0.497,0.496,0.49801,bootstrap_n2000,,5.0,,2000.0,5.0,processed/phase6/phase6c_mia.csv,W08A,original,True,Cohen h=-0.006; AUROC at/near chance
R26,Phase6C,cimas,MIA_AUROC,0.50675,0.50646,0.50698,bootstrap_n2000,,5.0,,2000.0,5.0,processed/phase6/phase6c_mia.csv,W08A,original,True,Cohen h=0.014; AUROC at/near chance
R27,Phase6C,eICU,Utility_AUROC_alpha0.01_W09b,-0.00077,-0.00338,0.00184,paired_ttest_df4,0.4601,5.0,8.0,,5.0,processed/phase6/phase6c_leakage_fl_w09.csv,W09b,w09,True,W09b per-client noise; materiality threshold -0.02: Within
R28,Phase6C,eICU,Utility_AUROC_alpha0.05_W09b,-0.01062,-0.02528,0.00403,paired_ttest_df4,0.1145,5.0,8.0,,5.0,processed/phase6/phase6c_leakage_fl_w09.csv,W09b,w09,True,W09b per-client noise; materiality threshold -0.02: Within
R29,Phase6C,eICU,Utility_AUROC_alpha0.1_W09b,-0.05031,-0.08992,-0.0107,paired_ttest_df4,0.0243,5.0,8.0,,5.0,processed/phase6/phase6c_leakage_fl_w09.csv,W09b,w09,True,W09b per-client noise; materiality threshold -0.02: Exceeds
R30,Phase6C,eICU,Utility_AUROC_alpha0.2_W09b,-0.13321,-0.22293,-0.04349,paired_ttest_df4,0.0146,5.0,8.0,,5.0,processed/phase6/phase6c_leakage_fl_w09.csv,W09b,w09,True,W09b per-client noise; materiality threshold -0.02: Exceeds
R31,Phase5,All,Audit_fault_detection_rate,1.0,0.98952,1.0,clopper_pearson_95,,,,,350.0,processed/phase5/results_v3/fault_injection_results.csv,"W11a,W11b,W11c",v3,True,350/350 detected; 0 false alerts; Clopper-Pearson exact 95% CI
